EVCC,VCC,NGC,RAJ2000,DEJ2000,Offset,cz,MmI,MmV,MTyp1,MTyp2,TT1,MTypV,umag,gmag,rmag,imag,zmag,Rad,R50,DR7,Sloan,Simbad,NED
2,0,,175.23619999999997,14.074499999999999,1.346,977.9,M," ",S,BE,206,,17.32,16.16,15.82,15.5,15.13,36.2,7.59,DR7,Sloan,Simbad,NED
3,0,3810,175.24489999999997,11.471099999999998,0.481,999.3,M," ",Sc,RE,203,,12.13,11.04,10.5,10.24,10.01,137.27,34.31,DR7,Sloan,Simbad,NED
4,0,,175.46089999999998,15.973699999999997,0.469,753.1,M," ",Irr(HSB),BE,310,,15.51,14.6,14.12,13.91,13.77,26.02,5.93,DR7,Sloan,Simbad,NED
5,0,,175.57469999999998,14.994899999999998,16.602,1021.5,M," ",Irr(LSB),BE,300,,16.34,15.54,15.42,15.08,15.52,106.17,22.43,DR7,Sloan,Simbad,NED
6,0,,175.62239999999997,18.3327,1.506,906.5,M," ",Sc,BE,203,,14.13,13.32,12.99,12.83,12.95,101.42,21.45,DR7,Sloan,Simbad,NED
8,0,,175.86239999999998,11.398499999999999,0.316,901.1,M," ",Irr(HSB),BE,310,,17.06,16.27,15.97,15.82,15.79,17.41,4.82,DR7,Sloan,Simbad,NED
13,0,,176.16969999999998,16.899499999999996,0.475,902.1,M," ",dS0,BE,410,,18.41,16.72,16.25,16.11,15.38,16.31,4.32,DR7,Sloan,Simbad,NED
20,0,,176.77919999999997,3.1063999999999994,0.232,1012.7,M," ",dE,BE,400,,18.63,17.7,17.36,17.06,16.73,17.45,4.55,DR7,Sloan,Simbad,NED
21,0,,176.82299999999998,16.3346,0.593,809.0,M," ",dE,BE,400,,18.53,17.71,17.29,16.97,17.1,16.99,3.98,DR7,Sloan,Simbad,NED
23,0,,177.06829999999997,18.6424,1.146,1010.6,M," ",Irr(LSB),BE,300,,17.14,16.38,16.11,15.9,15.52,30.68,8.26,DR7,Sloan,Simbad,NED
24,0,,177.17899999999997,17.181099999999997,2.86,1058.7,M," ",Irr(LSB),BE,300,,17.9,17.12,16.81,16.6,16.83,27.45,6.82,DR7,Sloan,Simbad,NED
27,0,,177.27299999999997,17.255699999999997,0.527,627.6,M," ",Irr(HSB),BA,310,,19.01,17.8,17.17,16.57,17.22,15.02,3.7,DR7,Sloan,Simbad,NED
29,0,,177.37939999999998,15.261099999999997,0.231,853.2,M," ",dE,BA,400,,18.75,17.59,16.99,16.69,16.57,23.73,5.5,DR7,Sloan,Simbad,NED
30,0,,177.48799999999997,16.295499999999997,0.076,1199.5,M," ",Irr(LSB),BE,300,,18.83,17.85,17.47,17.27,16.76,16.53,3.72,DR7,Sloan,Simbad,NED
31,0,,177.51139999999998,15.023299999999997,0.282,747.9,M," ",Irr(HSB),BE,310,,15.83,15.17,15.12,15.29,15.14,17.1,3.08,DR7,Sloan,Simbad,NED
33,0,,177.73349999999996,14.595199999999998,1.508,969.8,M," ",Irr(LSB),BE,300,,15.81,15.26,15.07,14.97,14.99,36.03,7.85,DR7,Sloan,Simbad,NED
